frame_idx,ch1,ch2,ch3,ch4,back_lt_id,back_lt_x,back_lt_y,back_lt_z,back_rt_id,back_rt_x,back_rt_y,back_rt_z,back_rb_id,back_rb_x,back_rb_y,back_rb_z,back_lb_id,back_lb_x,back_lb_y,back_lb_z,tip_lt_id,tip_lt_x,tip_lt_y,tip_lt_z,tip_rt_id,tip_rt_x,tip_rt_y,tip_rt_z,tip_rb_id,tip_rb_x,tip_rb_y,tip_rb_z,tip_lb_id,tip_lb_x,tip_lb_y,tip_lb_z,pip_id,pip_x,pip_y,pip_z,dip_id,dip_x,dip_y,dip_z
24,0.089,0.348,0.467,0.0,100015,-63.33913,801.64441,699.49042,106888,-39.56623,796.50055,698.42572,106789,-36.93209,800.35327,722.64941,100017,-60.53798,805.27173,722.54639,105973,-63.17696,785.7326,836.2832,106674,-37.67284,791.32892,838.7099,106749,-39.45526,786.58899,863.53412,105974,-62.66419,780.37122,859.84558,100019,-46.22317,794.03552,790.5672,105972,-45.09393,785.76941,813.03082
25,0.089,0.348,0.467,0.0,100015,-63.47647,801.22375,699.53363,106888,-39.7826,796.06519,698.45929,106789,-37.55176,799.44769,722.75037,100017,-60.20253,805.35767,722.7359,105973,-63.46229,785.48419,836.47437,106674,-37.88675,790.99158,838.87994,106749,-39.60611,786.23657,863.70001,105974,-62.92078,779.96161,859.90698,100019,-46.44515,793.69025,790.78748,105972,-45.19984,785.41681,813.25751
26,0.141,0.346,0.464,0.0,100015,-63.65892,800.88104,699.8208,106888,-39.81052,795.81201,698.57898,106789,-37.55789,799.18805,722.98053,100017,-60.69009,804.5849,722.80353,105973,-62.6997,784.05884,835.95251,106674,-38.10532,790.22021,838.87848,106749,-39.96294,785.94879,863.87683,105974,-63.35353,779.81769,860.22284,100019,-46.57592,793.11145,790.86029,105972,-45.39422,785.01929,813.41345
27,0.09,0.348,0.815,0.0,100015,-63.61721,800.63287,699.98053,106888,-39.77781,795.59961,698.73004,106789,-37.53333,798.94153,723.22595,100017,-60.7496,804.24158,722.87378,105973,-62.72192,783.34131,835.83643,106674,-39.32847,790.93604,839.75433,106749,-40.85489,786.01367,864.30042,105974,-63.64324,779.32336,860.28748,100019,-46.84187,792.75238,791.09204,105972,-45.65691,784.52576,813.56464
28,0.089,0.346,0.463,0.0,100015,-63.60396,800.40106,700.07495,106888,-39.74862,795.09424,698.61896,106789,-37.53605,798.67981,723.41522,100017,-60.8189,803.8457,722.88245,105973,-63.84373,783.87219,836.52728,106674,-39.42396,790.29968,839.79047,106749,-40.83265,785.01111,864.09393,105974,-64.02711,778.73425,860.36835,100019,-46.8989,792.44116,791.18054,105972,-45.83712,784.12549,813.70508
29,0.128,0.352,0.469,0.0,100015,-63.64656,800.15906,700.19,106888,-39.75144,794.84973,698.7063,106789,-37.08689,799.00781,723.55621,100017,-60.89463,803.50427,722.93225,105973,-64.03203,783.2431,836.5191,106674,-39.68938,789.87225,839.9151,106749,-40.71354,784.33801,864.08813,105974,-64.19267,778.27661,860.43024,100019,-47.00185,792.15155,791.26239,105972,-45.94519,783.60809,813.69409
30,0.128,0.352,0.469,0.0,100015,-63.51005,799.80341,700.16968,106888,-39.96189,794.58417,699.0202,106789,-37.07882,798.79797,723.61163,100017,-61.1317,803.0603,723.03516,105973,-63.87555,782.42804,836.3067,106674,-39.74434,789.08966,839.69983,106749,-42.04089,784.69312,863.96173,105974,-64.34816,777.76898,860.39801,100019,-47.05317,791.76843,791.33441,105972,-46.04393,783.21686,813.71875
31,0.089,0.346,0.705,0.0,100015,-63.55455,799.50128,700.30499,106888,-39.94495,794.34772,699.09955,106789,-37.09023,798.59296,723.65564,100017,-61.12162,802.76917,723.12671,105973,-63.96941,781.95923,836.37335,106674,-39.85392,788.75903,839.76385,106749,-42.19776,784.21954,863.98004,105974,-64.51278,777.24323,860.35077,100019,-47.11146,791.42877,791.375,105972,-46.13294,782.83551,813.74951
32,0.09,0.352,0.469,0.0,100015,-63.63136,799.16797,700.36359,106888,-39.90996,794.11121,699.1593,106789,-37.29236,798.15546,723.73462,100017,-61.20654,802.36133,723.21545,105973,-63.50632,780.88055,835.95569,106674,-39.86229,788.33978,839.8006,106749,-42.36808,783.84772,863.97015,105974,-64.30785,776.54547,860.24792,100019,-47.17322,791.13269,791.42236,105972,-46.23709,782.4707,813.75586
33,0.12,0.347,0.464,0.0,100015,-63.60146,798.90576,700.34412,106888,-39.89246,793.89349,699.19958,106789,-37.3022,798.06116,723.76569,100017,-61.07348,802.284,723.24329,105973,-63.62419,780.47925,835.93646,106674,-39.11927,787.10254,839.26953,106749,-41.53626,782.46753,864.17999,105974,-64.33116,776.005,860.17859,100019,-47.19161,790.51929,791.1712,105972,-46.33838,782.01398,813.7359
34,0.12,0.347,0.464,0.0,100015,-63.67628,798.6778,700.27802,106888,-39.89682,793.7207,699.20044,106789,-37.3954,797.85114,723.78516,100017,-61.08513,802.12891,723.26764,105973,-63.87937,780.28265,836.02185,106674,-40.17156,787.70166,839.93134,106749,-41.24268,781.75403,863.9798,105974,-64.37148,775.62561,860.19647,100019,-47.19005,790.10645,791.13837,105972,-46.37517,781.61359,813.68256
35,0.09,0.353,0.665,0.0,100015,-63.74498,798.51709,700.26251,106888,-39.86209,793.60437,699.22455,106789,-37.43644,797.7157,723.78198,100017,-61.09483,802.02368,723.28601,105973,-63.90534,779.88037,835.99884,106674,-42.50951,788.95563,840.97809,106749,-41.08233,781.14319,863.92535,105974,-64.668,775.03638,860.1192,100019,-47.331,789.89178,791.28162,105972,-46.39761,781.34949,813.68927
36,0.089,0.348,0.466,0.0,100015,-63.85011,798.2843,700.18646,106888,-39.85105,793.50757,699.19855,106789,-37.47012,797.60529,723.79431,100017,-61.09845,801.95398,723.27936,105973,-64.3307,779.97119,836.13416,106674,-47.63001,792.36688,842.50708,106749,-41.29667,781.14056,864.10333,105974,-64.8252,774.9585,860.2713,100019,-47.39004,789.67523,791.31842,105972,-46.39496,781.09399,813.71613
