display_idx,frame_idx,tip_lt_z,tip_lt_residual_z,tip_lt_down_score,tip_rt_z,tip_rt_residual_z,tip_rt_down_score,tip_rb_z,tip_rb_residual_z,tip_rb_down_score,tip_lb_z,tip_lb_residual_z,tip_lb_down_score,consensus_down,consensus_down_smooth,active_points,is_click
47,47,778.4975,-0.5817684705882584,2.989559142458901,783.96027,-1.2118305490195098,4.2053603098892545,778.12189,-1.1968288627450647,3.072723028152843,772.1109,-0.8919170588235374,4.059460874695203,14.327103355196202,13.981537853922852,4,0
48,48,778.07959,-0.5793796862743648,2.977283791789343,783.48767,-1.2281831372547458,4.262107951367731,777.55389,-1.4001612941176518,3.5947560971213184,771.77368,-0.9677529411762862,4.404619423086506,15.238767263364895,15.168781851980508,4,0
49,49,777.63336,-0.5276268235292036,2.7113390873405563,783.07806,-1.2037710588234631,4.177391828474242,776.88818,-1.5206065490195897,3.9039856953448004,771.3515,-1.1310303529411385,5.14775832622083,15.94047493738043,15.904187372634759,4,0
50,50,777.31488,-0.573007960784139,2.944541126699085,783.31079,-1.1808858431371618,4.097974307758748,776.69421,-1.52121290196078,3.9055424380868753,770.84723,-1.2271556862745001,5.585262044614245,16.533319917158956,16.180161467258,4,0
51,51,777.29053,-0.5507325490195853,2.8300734917902677,783.07629,-1.0946024705881428,3.7985490534485504,776.34796,-1.4334060784312896,3.680108328761347,770.448,-1.2650994117647087,5.757958673234453,16.066689547234617,15.919755098883401,4,0
52,52,777.09851,-0.48350450980376536,2.484605819635371,782.98395,-1.049205254901949,3.64100916540012,776.75562,-1.329793215686209,3.4140939976568796,770.30219,-1.2346885098038456,5.619546849564267,15.159255832256637,15.309891223779914,4,0
53,53,777.01312,-0.5892255294115785,3.027879057525058,782.82703,-0.9347572941177305,3.2438456244915916,776.65063,-1.1987136862743455,3.077562099838616,770.28168,-1.1764413725491067,5.35444150999323,14.703728291848496,14.896179060133807,4,0
54,54,776.92316,-0.7491512941176097,3.8496965951929307,782.276,-0.9746410196077022,3.3822522988585253,776.07861,-1.0503570588234652,2.6966732027394538,770.20563,-1.0759202745098264,4.896930959505382,14.825553056296293,14.705854311145298,4,0
55,55,775.80322,-0.7316782745097044,3.7599072233791615,782.77557,-1.0197271372546766,3.5387125975636464,776.00769,-1.086136862745093,2.7885338111146694,769.8811,-0.9889571372548289,4.501127953233635,14.588281585291112,14.964702932306835,4,0
56,56,775.44586,-0.9036062745096842,4.643401173687075,781.82739,-1.0596822352940762,3.6773669528351607,775.92755,-1.0959549019606811,2.8137405187134914,769.76343,-0.954821960784102,4.345765510097374,15.4802741553331,15.341056250396326,4,0
57,57,776.19318,-1.0879771764704174,5.590836009752988,781.74554,-1.0161034117645613,3.526137348192029,775.47217,-1.012172078431263,2.5986375752299615,769.58234,-0.9313646274509892,4.239002077389788,15.954613010564767,15.697642952114009,4,1
58,58,775.22778,-1.079401254901768,5.54676654565047,781.68848,-1.0891177647057475,3.7795157286591206,775.40613,-0.9293359215686223,2.3859650915703368,769.3371,-0.8669430196077883,3.9457943245642286,15.658041690444158,15.393936199171002,4,0
59,59,775.11243,-1.023497647058548,5.259492225412482,781.58325,-1.0078634901960868,3.4975427240107027,775.34113,-0.8602476862745334,2.2085888449149214,769.24695,-0.791743058823613,3.603530102165977,14.569153896504083,14.679733520450052,4,0
60,60,775.05688,-1.1206998823528238,5.758989612917189,781.53851,-0.9011574901960557,3.127245756674596,775.29871,-0.7154047450978851,1.83672094076188,769.18866,-0.6787047058822964,3.0890486640482555,13.812004974401919,13.273969656996075,4,0
61,61,775.03723,-1.0261334117647039,5.2730367450504945,781.48108,-0.7624458039214232,2.6458809153202307,775.284,-0.4994315686274149,1.282234185419074,769.17377,-0.492069254901935,2.239598254292422,11.440750100082223,10.72626924675777,4,0
62,62,775.04346,-0.6198803529410952,3.1854063429939052,781.46747,-0.5279593725488212,1.8321533421873675,775.27692,-0.27845839215683554,0.7149104943878509,769.21942,-0.26224580392158714,1.1935824862200506,6.926052665789175,7.124344142599417,4,0
63,63,775.07648,-0.22868619607834262,1.1751597805719178,781.44531,-0.4196734901960326,1.4563737811454358,775.62689,-0.06793462745076795,0.17441448871660722,769.40204,-0.04400450980392634,0.20028161149289406,3.006229661926855,3.6784630816480703,2,0
64,64,776.51331,0.15009109803929732,0.0,781.48584,-0.31787494117645565,1.103106917228183,775.58929,0.12363968627460054,0.0,769.53583,0.14200556862749636,0.0,1.103106917228183,1.6427661735789378,1,0
65,65,776.46564,0.510566980392241,0.0,781.42706,-0.23599478431356147,0.8189619415817755,775.52362,0.2909468627452725,0.0,769.45679,0.28350372549027725,0.0,0.8189619415817755,0.8368017256673057,1,0
66,66,776.39044,0.850488235294165,0.0,781.34991,-0.16953694117626128,0.5883363181919589,775.42865,0.4409310196078877,0.0,769.28644,0.34311294117651414,0.0,0.5883363181919589,0.6080372927125952,1,0
67,67,776.30426,0.88149921568629,0.0,781.27686,-0.12011039215667552,0.4168136183640514,775.31,0.5748565490197279,0.0,769.1084,0.33313235294122023,0.0,0.4168136183640514,0.43613998685947125,1,0
68,68,776.18365,0.9008827058825091,0.0,781.18396,-0.08739129411765134,0.3032700240224036,775.5791,0.6815084705882555,0.0,768.88489,0.2961481960785477,0.0,0.3032700240224036,0.34042660505143496,0,0
69,69,776.06976,0.8978425882353349,0.0,781.08801,-0.08679368627451822,0.30119617276784993,775.4494,0.5998882352942019,0.0,768.68353,0.24730117647072802,0.0,0.30119617276784993,0.3730581104153426,0,0
70,70,775.97443,0.6073704313724875,0.0,780.96118,-0.14831999999989876,0.5147081344557742,775.26526,0.4833182745096565,0.0,768.49078,0.18271670588239886,0.0,0.5147081344557742,0.3631452039383206,1,0
71,71,775.85291,0.27674105882351796,0.0,780.7995,-0.07882168627440933,0.2735313045913378,774.22614,0.17687729411761666,0.0,768.28455,0.03829576470593565,0.0,0.2735313045913378,0.8804770909578721,0,0
72,72,774.38446,-0.06307231372556998,0.32411246340602107,780.63965,-0.14220525490190994,0.4934884132984079,773.96466,-0.1750063137253619,0.4493089588620702,768.05591,-0.12881388235291524,0.5862819982600054,1.8531918338265045,2.663766221259147,3,0
73,73,774.16571,-0.41595443137248367,2.1374832704469346,781.35278,-0.20939513725477354,0.7266543990061276,773.3598,-0.5640678823527878,1.4481806259012424,767.53015,-0.34105137254903184,1.5522572300052933,5.864575525359598,5.8361876707191565,4,0
74,74,773.95715,-0.8126221176470381,4.175856898397282,780.3432,-0.3232304313723944,1.121691830711528,773.07318,-0.7834287450979218,2.011364883411937,767.20667,-0.5453021960784099,2.4818820404506203,9.790795652971369,9.284183570501746,4,0
75,75,773.77734,-0.9386118823529159,4.823286025231617,780.20331,-0.4372328235292571,1.5173091351249208,772.68396,-0.9892628235292023,2.5398206488617845,766.82477,-0.7287367058822838,3.3167637239559533,12.197179533174277,12.114854195460099,4,0
76,76,773.47015,-1.039403686274568,5.341229286395659,779.8526,-0.7041847058821986,2.443700082774824,772.54517,-1.0907223921566356,2.800306640345076,766.67834,-0.8286156078429485,3.771351390719096,14.356587400234655,13.781531591360597,4,0
77,77,773.38617,-1.1176034117646623,5.743077643767617,779.72394,-0.7810840392155569,2.7105603335901733,772.40692,-0.9729601960782475,2.497965492834673,766.57886,-0.8435281960784096,3.8392243704804025,14.790827840672865,14.609931823664585,4,0
78,78,773.31415,-1.1815262745097925,6.071560860705477,779.63995,-0.8408261960782966,2.9178808170529966,772.32611,-0.784987921568586,2.0153678930280114,766.49823,-0.8080107450979312,3.6775706592997506,14.682380230086236,14.610745593380628,4,0
79,79,773.21277,-1.2112388235294702,6.224246038844672,779.59497,-0.8368504705881605,2.9040840381281208,773.15674,-0.6846423529411823,1.7577419708161128,766.62506,-0.7630543529411398,3.4729566615938765,14.359028709382782,14.360884697408839,4,0
80,80,773.11761,-1.2434224313725508,6.389629355282062,779.53986,-0.8256627450980432,2.8652597843806453,773.07159,-0.5818629411763823,1.4938674310382607,766.49902,-0.723403137254877,3.292488582056528,14.041245152757496,14.033512402680428,4,0
81,81,772.9859,-1.2948192549018813,6.653744465404975,779.51416,-0.7920203921569282,2.748512260641191,772.49994,-0.4688228627450144,1.2036497876371806,766.39337,-0.6798709803920246,3.0943568322176604,13.700263345901007,13.674273219082442,4,0
82,82,772.8927,-1.2064827058821948,6.199805568599447,779.47046,-0.7705463137256174,2.6739917452114144,772.42432,-0.526166470588123,1.3508730288387243,766.26837,-0.6715842745096552,3.0566408159392444,13.28131115858883,13.147288311480267,4,0
83,83,772.83051,-1.0725293333332502,5.511453501045887,779.4455,-0.738697372548927,2.563467816560813,772.39148,-0.574313529411711,1.474485168376991,766.19708,-0.6395595686274191,2.9108839439672742,12.460290429950966,12.312198352960245,4,0
84,84,773.46014,-0.9300804313724029,4.779445084089787,779.42621,-0.7056676078429973,2.448846129847532,772.37982,-0.507498156862539,1.3029442402984677,766.15527,-0.5852627450980208,2.663758016105151,11.194993470340936,11.058592228273113,4,0
85,85,773.51282,-0.7403013725488563,3.804219115278699,779.42334,-0.6733531764703002,2.3367068317902815,772.37549,-0.4199129019606289,1.0780789834174913,766.15887,-0.5056672156862305,2.3014878540409662,9.520492784527438,9.552138253783188,4,0
86,86,773.51422,-0.5368074509801772,2.758515980068715,779.401,-0.632382078431192,2.1945266980367184,772.38031,-0.380264941176506,0.9762873188671808,766.18036,-0.44197470588244414,2.0115985095085773,7.940928506481191,8.136566607853432,4,0
