frame_idx,ch1,ch2,ch3,ch4,back_lt_id,back_lt_x,back_lt_y,back_lt_z,back_rt_id,back_rt_x,back_rt_y,back_rt_z,back_rb_id,back_rb_x,back_rb_y,back_rb_z,back_lb_id,back_lb_x,back_lb_y,back_lb_z,tip_lt_id,tip_lt_x,tip_lt_y,tip_lt_z,tip_rt_id,tip_rt_x,tip_rt_y,tip_rt_z,tip_rb_id,tip_rb_x,tip_rb_y,tip_rb_z,tip_lb_id,tip_lb_x,tip_lb_y,tip_lb_z,pip_id,pip_x,pip_y,pip_z,dip_id,dip_x,dip_y,dip_z
29,0.065,0.219,0.787,0.0,103780,-96.48969,849.54242,646.64667,103782,-101.02961,833.7514,629.6792,103785,-76.76112,827.75024,631.75995,103838,-71.75136,844.6181,648.76416,103816,-78.12936,808.35077,756.04895,103805,-84.11099,832.05267,749.22064,103804,-59.51379,835.54694,745.20428,103814,-53.61663,812.0069,752.8833,103778,-80.36004,873.66125,714.31702,103807,-75.53072,854.26178,731.16809
30,0.065,0.222,0.201,0.0,103780,-96.40011,849.46613,646.54919,103782,-100.85492,833.52966,629.60376,103785,-76.64036,827.74506,631.72485,103838,-71.64024,844.47748,648.68414,103816,-78.42948,810.16736,757.68817,103805,-84.08121,833.08313,749.61963,103804,-59.32269,836.70453,745.8042,103814,-53.9361,813.75317,754.62537,103778,-80.07435,873.89288,713.7395,103807,-75.36742,854.89679,731.22607
31,0.065,0.222,0.201,0.0,103780,-95.84341,849.83771,646.82971,103782,-100.74305,833.34839,629.55243,103785,-76.52876,827.74353,631.69147,103838,-71.96781,844.75775,649.2735,103816,-78.38645,811.51208,759.07935,103805,-84.06809,834.2218,750.30627,103804,-59.24247,837.67047,746.4256,103814,-53.91435,815.03809,756.03192,103778,-79.95116,874.1745,713.51501,103807,-75.48441,855.6618,731.27258
32,0.184,0.227,0.208,0.0,103780,-95.75093,849.763,646.76489,103782,-100.52725,833.31207,629.56799,103785,-76.43301,827.71472,631.64587,103838,-71.88065,844.66864,649.23529,103816,-78.39738,812.94214,760.25659,103805,-84.11047,835.89825,751.50043,103804,-59.45898,839.15399,747.44092,103814,-53.8423,816.51898,757.3988,103778,-79.81592,874.43433,713.29504,103807,-75.35624,856.41663,731.43921
33,0.065,0.23,0.669,0.0,103780,-95.67172,849.67944,646.69495,103782,-100.24306,833.35571,629.61627,103785,-76.37048,827.67108,631.58441,103838,-71.83369,844.62726,649.16156,103816,-78.42316,814.46472,761.56519,103805,-84.04825,836.67706,751.77625,103804,-59.1143,840.07745,747.83667,103814,-53.87396,817.78784,758.53864,103778,-79.73425,874.85608,713.20612,103807,-75.18497,857.05725,731.55902
34,0.065,0.233,0.218,0.0,103780,-95.55273,849.59186,646.61584,103782,-99.71857,833.95343,629.43512,103785,-76.33966,827.56445,631.40338,103838,-71.87493,844.56775,649.04852,103816,-78.3988,816.06311,762.77191,103805,-83.79115,837.93634,752.43927,103804,-59.69407,841.48102,748.61371,103814,-53.95539,819.5174,760.03217,103778,-79.69683,875.13959,712.91876,103807,-75.0049,857.61414,731.58136
35,0.159,0.238,0.227,0.0,103780,-95.47182,849.49091,646.49988,103782,-99.03629,834.14447,629.15656,103785,-76.23318,827.53912,631.28674,103838,-71.59076,844.44092,648.89307,103816,-78.41963,817.71051,764.14337,103805,-83.9864,839.51575,753.07281,103804,-59.23954,842.54871,749.20044,103814,-53.86677,820.99463,761.23511,103778,-79.64252,875.39905,712.58575,103807,-74.87303,858.21625,731.59808
36,0.159,0.238,0.227,0.0,103780,-95.80623,848.97662,646.09619,103782,-98.97078,834.12842,629.10315,103785,-76.13703,827.47699,631.13977,103838,-71.52869,844.46204,648.73199,103816,-78.56279,819.82153,765.57056,103805,-83.7397,840.9552,753.94879,103804,-59.05078,843.77142,749.93237,103814,-53.99631,822.91724,762.90155,103778,-79.56343,875.58264,712.33313,103807,-74.71996,859.07599,731.81396
37,0.065,0.24,0.536,0.0,103780,-95.69755,848.92279,646.05536,103782,-98.92714,834.08405,629.05133,103785,-76.05557,827.42975,630.99323,103838,-71.51967,844.44684,648.6026,103816,-78.57914,821.90314,767.12964,103805,-83.8337,842.91101,754.90887,103804,-59.13605,845.66357,750.6795,103814,-53.94772,825.01129,764.50159,103778,-79.50895,875.8017,711.99182,103807,-74.84206,860.04498,731.89789
38,0.065,0.246,0.246,0.0,103780,-95.64861,848.86688,646.00519,103782,-99.24477,833.84198,629.0293,103785,-76.42466,827.42334,630.85089,103838,-71.62464,844.24652,648.38556,103816,-78.74671,824.48151,768.97839,103805,-83.25224,844.99481,755.82544,103804,-59.09942,847.31042,751.52563,103814,-54.20289,827.54254,766.41736,103778,-79.36321,876.09186,711.6543,103807,-74.64096,860.72156,731.97998
39,0.159,0.253,0.255,0.0,103780,-95.52107,848.79303,645.92889,103782,-99.21027,833.75653,628.97424,103785,-76.01125,827.1828,630.61566,103838,-71.96088,844.18726,648.10004,103816,-78.74328,827.41125,770.86285,103805,-84.53111,845.98425,755.41705,103804,-59.14275,849.47461,752.53687,103814,-54.41571,830.19006,768.42328,103778,-79.0466,876.34344,711.08521,103807,-73.73271,862.48718,732.40955
